,名稱,分類,上映日期,劇情介紹
135,薩滿,劇情,2021-08-25,★擊退《黑寡婦》榮登韓國票房冠軍！★榮獲2021韓國富川國際奇幻影展最佳作品獎★《鬼影》《淒厲人妻》鬼才導演班莊比辛達拿剛最新恐怖懼作★「韓國驚悚恐怖大師」《哭聲》羅泓軫導演擔任監製，參與企畫、製作、劇本撰寫，再創驚悚力作★《鬼病院：靈異直播》發行商×《模犯生》製片公司跨國合作，再創恐怖新境界！★揭露泰國薩滿信仰不為人知的駭人故事……位於泰國東北部依善地區中的一個小村落，住在這裡的人們深信著房子、森林、群山、樹木，甚至是稻田皆有靈魂。「尼姆」繼承家族信仰，供奉先祖成為巫覡，某天她卻發現外甥女「敏」似乎不太對勁，狀態也一天比一天惡化，變得愈來愈古怪。以薩滿巫覡為主題取材的攝影團隊，一直跟隨在「尼姆」身旁進行拍攝，為了捕捉到巫覡被神附身的瞬間，攝影機也開始收錄到發生在「敏」和「尼姆」以及他們家族中，一連串不可思議的現象……世襲的薩滿巫覡家族，與血有關的三個月的紀錄……
136,超速性追緝,劇情,2021-08-20,★科幻驚悚導演大衛柯能堡集大成鉅作，坎城影展破天荒頒首座評審團特別獎★獲法國權威電影雜誌《電影筆記》九零年代十大最佳影片肯定！★榮獲威尼斯影展經典單元殊榮★勇奪加拿大金尼獎最佳導演、改編劇本、攝影、剪輯、音效剪輯、金膠捲獎★當代最挑戰道德與視覺極限的禁忌慾望經典！一刀未剪4K修復版本登大銀幕「肉體恐怖大師」大衛柯能堡驚世駭俗之作經典重現！《超速性追緝》是鬼才名導大衛柯能堡結合性愛與科技的集大成之作。電影改編自J.G.巴拉德的同名小說，以精緻拍攝手法充分描繪出令人歎為觀止的美，以及這個世界的人類如何透過科技改變思想、肉體以及最赤裸的性慾。電影改編自英國傳奇小說家詹姆斯巴拉德的同名小說，劇情描述導演巴拉德（詹姆斯史派德飾）與美麗的妻子凱瑟琳結縭多年，婚姻關係愈發疏離。直至某夜巴拉德發生車禍意外大難不死，他發現自己竟在瀕死之際獲得感官上的高潮，在神秘女子海倫（荷莉杭特飾）的介紹下，結識了一群熱衷於重現傳奇車禍事故，藉此感受另類快感的瘋狂男女。巴拉德開始夜夜飛車追逐，無法自拔地以肉身探索速度、性與死亡，帶領妻子一同達到解放自我的快感極限。本片的大膽與獨創性，當年一上映就令全場觀眾看得瞠目結舌，並在爭議中光榮奪得坎城影展評審團特別獎，更因為片中完美結合了暴力與色情，反應出現代人追求貪婪、嗜血的娛樂刺激，讓電影在全球許多地方依舊遭到禁演。
137,哭泣的憂羅娜,劇情,2021-08-20,★第93屆奧斯卡獎最佳國際影片15強★第78屆金球獎最佳外語片提名★第76屆威尼斯影展「威尼斯日」單元最佳影片★第92屆國家評論協會獎最佳外語片★柏林影展銀熊獎得主，當代最重要瓜地馬拉名導最新力作★繼《哭泣的女人》後，中南美最厲女鬼「憂羅娜」再度降臨★「前所未見的鬼故事新風貌」-THEVERGE阿爾瑪和她的小孩在瓜地馬拉的武裝衝突中慘遭謀殺，30年後，退役將軍安立奎被指控曾對當地土著實行種族滅絕，卻因無效審判而被無罪釋放。此後安立奎便時常在夜間聽見「憂羅娜」的哭聲，他的妻女覺得這是阿茲海默症引起的失智症狀。然而她們有所不知的是，新來的女傭阿爾瑪，正是來進行審判未竟的復仇……
138,摯愛之路,劇情,2021-08-20,★2020法國坎城影展、西班牙聖賽巴斯提安影展、台北金馬國際影展正式入選，NETFLIX火速搶下北美地區版權★2021法國凱薩獎最佳導演等四項大獎提名★「令人心碎的親情絮語」-Variety★「情感真摯動人」-ScreenInternational★「無法言語的精采」-HollywoodReporter在多年失智症困擾後，娜吉最深愛的祖父在安養院意外離世，由於從小被出身阿爾及利亞的祖父拉拔長大下，娜吉一時間走不出喪親的痛苦中，而表面和樂的家族也在此時再度聚首於喪禮中，卻掀開彼此充滿怨懟的緊張混亂關係。而面對她與母親如宿命般針鋒相對，失聯多年的父親又突然現身，同時還得獨自撫養三個兒子，在徬徨無措之際，娜吉陷入自我認同的十字路口。但同時，祖父生命的終點，卻也同時揭發了她真實血緣的起點。
139,期末考,劇情,2021-08-20,★獲選2021美國西雅圖國際影展競賽片★愛沙尼亞「塔林黑夜影展」創投單元★布宜諾斯艾利斯國際獨立影展競賽片期末考即將展開，代課老師林立宏（藍葦華飾）卻殷殷企盼，因為下學期的聘書尚未寄來。這七天的等待，紛紛擾擾卻先接踵而來…。由於逐年少子化，學校縮班壓力與日俱增，立宏為求表現，主動承擔了招生的責任。但就在此時，阿嬤（陳淑芳飾）健康欠佳、頻頻出入醫院；弟弟立東（吳宏修飾）則捲入一起傷害案件。學校裡，艾晴老師一直想對他表白，他卻因為班上學生小盛遭同學欺負，必須向校方提出說明。焦頭爛額的七天裡，他卻還得面臨人生的重大抉擇…。【關於電影】電影《期末考》是台灣女導演郭珍弟執導的感人新作，充滿對台灣偏鄉教育的關懷。該片劇情敘述：一名代課老師（藍葦華飾）在期末考前七天，為等待一紙續任聘書、陷入人生掙扎的故事，背景更道出台灣偏鄉教育面臨的少子化衝擊的現象。連獲瑞士盧卡諾影展、捷克卡羅維法利國際影展，以及阿根廷布宜諾斯艾利斯國際獨立影展的高度推崇，後者更直接將之選為競賽片，認為該片「議題深具國際性」。根據內政部統計顯示，台灣出生人數不斷驚人探底，「少子化」成為國民教育50多年來面臨的最大危機。學生的銳減也影響了老師，片中飾演老師藍葦華和楊小黎，為保住工作、得挨家挨戶拜託家長讓孩子來念書，際遇十分辛酸。電影《期末考》不僅呈現偏鄉教育面臨少子化的衝擊，男女主角更將老師掙扎於教育與尊嚴的難堪處境，詮釋得令人揪心。而那種等待聘書的煎熬，就連歐洲「塔林黑夜影展」策展人米克葛蘭斯特倫（MikkGranström）都被深深打動。畢業於台大心理系及美國天普大學影視研究所的導演郭珍弟，作品向來深具台灣人文關懷，並曾以《跳舞時代》勇奪金馬獎最佳紀錄片。她這部新作《期末考》，除為偏鄉教育發聲、描繪流浪教師無力扭轉未來的遭遇，更為社會階層的歧見發出不平之鳴。該片除囊括藍葦華、楊小黎，金馬影后陳淑芳、桃影影帝吳宏修、金馬男星邱志宇，以及亞太影后陸弈靜、金馬男星陳博正(阿西)都有精彩演出，「前NCC主委」詹婷宜及知名人權律師李宣毅更驚喜參與演出。而陳淑芳與藍葦華片中祖孫情尤其動人，連國際影展都盛讚其精彩演技「對人生有著無可比擬的洞察」。《期末考》更入選美國西雅圖國際影展，並將於6月4日起在台感動上映。
140,感動她77次,劇情,2021-08-13,★香港天后蔡卓妍，帥氣男星周柏豪、再加上泰國偶像男神馬力歐共同演出糾心三角戀，想挽回10年感情的前男友，和突然出現的貼心帥哥，你要回首舊愛還是擁抱新戀情？★《原諒他77次》原班人馬再度合作，再度呈現愛情中最真實的一面，感動77次能彌補之前受的77次的傷嗎？經過77次的受傷之後，Eva（蔡卓妍飾）終於和拍拖十年多的男友Adam（周柏豪飾）分手。回復單身的Eva寄情工作，但Adam仍對她念念不忘，希望藉著努力改過表現誠意，感動她77次，讓Eva回心轉意。可是，Eva遇上泰國男神影星Marvel（馬里歐飾），橫空而出對她發動追求攻勢，還有富豪鄧先生也猛烈追求她，讓Eva更加心慌意亂。此時Eva的媽媽（惠英紅飾）突然暈倒入院，Eva為成全病危母親想看著她嫁人的心願，決定與Adam舉行一場浪漫婚禮…… 究竟Eva最終會否被Adam感動？Marvel的出現又是否會改寫她的命運？這場婚禮又是屬於誰的大團圓結局？【關於電影】《原諒他77次》2017年於香港上映時，票房及口碑均創下佳績，台前幕後原班人馬再度攜手開拍延續篇，經歷一段愛情風波，相處印記由「原諒」變「感動」，這次男女主角將會走進一段「愛情的墳墓」-婚姻，Adam能否用真情感動到Eva，有個真正HappyEnding呢?《感動她77次》由邱禮濤執導，李敏編劇，蔡卓妍、周柏豪、馬力歐（MarioMaurer）、惠英紅、鄭丹瑞等主演。根據李敏同名小說改編的《原諒他77次》，電影上映時觸動了無數情侶的神經，引起不少痴男怨女的共鳴：男方無故「被分手」，覺得女友是為了雞毛蒜皮的小事鬧情緒，不可理喻；但女方其實已累積了一次又一次的傷心，給予男友一次又一次的原諒，但默默的付出和寬恕卻沒有得到回應，所謂哀莫大於心死，分手絕不是一時意氣用事，而是思考已久的決定。新歡舊愛的愛情難題蔡卓妍（阿Sa）在上集《原諒他77次》不單是擔任女主角，更參與了籌備工作，從說服老闆投資、到親自找邱禮濤導演執導，更和編劇李敏一起研究劇本，甚至加入她的個人經歷，這部電影對她來說可算是「親生孩子」一樣，而她的努力和付出也得到回報，電影叫好叫座，在影迷的熱切期待下，終於都推出延續篇《感動她77次》。阿Sa表示，《原諒他77次》引起了男女觀眾的共鳴和迴響，皆因故事非常貼地和寫實地描繪了情侶的現實寫照，把愛情中最美好和最醜陋的一面都赤裸裸地呈現出來。男女不大同，相處相愛本是一大學問，而這集更會進一步談及戀愛中最大的考驗之一：婚姻。究竟「婚姻」是否真的是「愛情墳墓」？「結婚」又是否是每個女人的終極任務？阿Sa飾演的Eva已屆適婚年齡，但10多年的感情以分手收場的她，似乎受傷頗重，暫時只想寄情工作。她身為律師，在工作上絕對是能獨當一面的女強人，她相信女人也可以事業為重，不受兒女私情所困，也可以不受社會對女性到了某個年齡就必須結婚生子的傳統枷鎖所牽絆。探索更深愛與情引發不同觀眾層迴響2017年《原諒他77次》上映後，引起觀眾極大的迴響，而最讓劇組感到意外的是，在網上踴躍地發表意見和感想的不只是女性觀眾，也有不少男性觀眾表示有莫大共鳴。今次延續篇，也希望可以延續這種引發觀眾反思和討論的影響力，希望不論男女、不論年紀，都能從中得到啟發。Eva、Adam和Marvel間複雜的男女感情、Eva與母親之間動人至深的母女情、Eva母親遲來的「第二春」，以至Adam身邊一班兄弟和Eva身邊一班閨蜜，都對愛情有著的不同看法和態度，都刻畫了不同年齡和處境下的「愛」與「情」，比上集涉獵得更廣更深，觸動的觀眾層也更廣更闊。電影製片認為故事中所刻畫的都是現代人感情生活的寫照，道出人與人之間相處的難題與箇中智慧，無論你是單身、相戀、失戀、已婚，都可以從不同的角色中找到自己的影子和共鳴。
141,被偷走的童年,劇情,2021-08-13,★《何處是我家》奧斯卡金獎導演卡洛琳林克最新作品★改編自童書巨匠朱迪絲克爾暢銷自傳體小說★透過一個小女孩的純真雙眼，看見黑暗時代中的人性光輝與希望★2020巴伐利亞電影獎最佳青年電影★2020德國影評人協會獎最佳兒童電影獎提名改編自朱迪絲克爾的自傳體小說，描述一個猶太家庭在二戰時期背井離鄉的逃難故事。「媽媽說每人只能帶一個玩具。」年僅9歲的安娜不明白什麼叫做逃難，她在毛茸茸的玩具狗和粉紅兔子之間猶豫不決，最後決定帶走了小狗，安娜從此再沒有見過那隻她心愛的粉紅兔子。在那烽火連天的年代，安娜一家人從德國搬到瑞士，瑞士搬到法國，再從法國逃到英國，即便經濟拮据、顛沛流離，但一家人始終以懷抱樂觀的態度面對生活和一切苦難，然而安娜最讓念念不忘的，卻是那隻她沒有帶走的粉紅兔。她想像，粉紅兔和她老家的房子一樣，已經落在希特勒手上，其他，逃不掉的，還有許許多多的猶太人……
142,雙面薇若妮卡經典數位修復,劇情,2021-08-06,★1991坎城影展最佳女主角、國際影評人費比西獎、人道主義精神獎★1992金球獎最佳外語片提名★1992法國凱薩獎最佳女主角提名★1992美國國家影評人協會最佳外語片經典大師奇士勞斯基逝世二十週年數位修復‧經典重現大銀幕波蘭與法國，兩個同名薇若妮卡的女子互不相識，卻都擁有音樂天賦，年齡相仿、長相相似，甚至都有致命的心臟宿疾。神秘難解的命運將她們彼此緊密維繫，彷彿同樣的靈魂一生為二，互相交換死生蛻變。她們不僅是幾乎一模一樣的人，還是冥冥中能夠互相感應的人。波蘭的薇若妮卡曾對自己的父親說：「我有種奇特的感覺，我在這世上並不是孤單一人的。」；法國的薇若妮卡也說著類似的話：「我覺得自己好像同時活在兩個地方，總該知道自己該做什麼。」所有的一切似乎都暗示著，這兩條生命彼此平行依存，卻未曾真正相遇。 《雙面薇若妮卡》是奇士勞斯基最令人著迷、大開國際知名度的經典作品，透過繁複細緻的光影多重隱喻國族、生命、認同、愛與人性，引人反覆追索。伊蓮雅各以此片奪得坎城影后，分飾兩角的演技令人心碎動容。2021年為奇士勞斯八十週年冥誕，也是本片問世30周年。而影史經典《雙面薇若妮卡》也將以《雙面薇若妮卡經典數位修復》再度登上大銀幕，讓影迷重溫當時的悸動。
143,人聲,劇情,2021-08-06,一個焦慮的女人等著要跟她分手的男人可以出現，取回他的行李，心裡有著一絲絲盼望，也許可以有轉圜的餘地。但是三天的枯等讓她心灰意冷，甚至將男人的衣物放在床上用買來的斧頭砍破洩恨。男人養的狗跟女人一樣焦慮，牠對他的依戀不亞於女人！但是他們都等不到回心轉意的男人在萬念俱灰的情緒下，她吞下了13顆藥丸，然後沉沉睡去，就在這個時候男人來了電話…【關於電影】時間流逝與情感拖磨阿莫多瓦大師賦予《人聲》最高演繹境界阿莫多瓦X蒂妲絲雲頓兩大時尚先驅 營造本世紀最夢幻視覺饗宴《人聲》故事敘述一個女星看著時間一分一秒的過去，但是她的情人即將離他而去，她看著情人應該要來拿走的行李箱，卻一直杵在那邊，令她焦慮不已，她身邊還有一隻煩躁靜不下來的狗。電影一開始她全身穿著靛藍的套裝走進五金大賣場，挑選了一把鋒利的斧頭，放進她名牌包包中。這樣的場面果然非常的阿莫多瓦！每一次的作品總是給人驚喜連連的阿莫多瓦，在全世界都擁有許多影癡，在新冠疫情期間阿莫多瓦也沒有停下腳步，全新作品短片《人聲》是他再一次突破自己極限的作品。這次阿莫多瓦找上從未合作過的女星蒂妲絲雲頓擔綱女主角，同時這也是他首部英語發音電影。素有「時尚仙人」美譽的蒂妲絲雲頓，與用色大膽前衛的阿莫多瓦一起合作，根本就是一場夢幻的時尚視覺饗宴！導演第三度改編尚考克多劇本《人聲》蒂妲氣場強大獨撐30分鐘《人聲》不僅是阿莫多瓦第一部英語發音的電影，同時也是他第三度改編法國神級劇作家尚考克多的劇本，前兩部也都成為經典之作：《慾望法則》與《瀕臨崩潰邊緣的女人》。《人聲》也讓阿莫多瓦琢磨許久，他說：「因為劇本真的很短，所以我一直在跟主角演戲，想要創造出女主角接到男人電話前兩天的心境和情緒。所以這部電影跟《瀕臨崩潰邊緣的女人》很不一樣，尚考克多的劇本在這三年裡一直在我腦中盤旋，我希望能夠寫出一個更現代化的腳本。」阿莫多瓦一直以來就想要跟蒂妲絲雲頓一起拍片，他說：「這是我夢寐以求的事情，《人聲》這部電影充滿了各種實驗性質，我雖然英文不是太好，但是我跟蒂妲就是能彼此了解，用我們的電影語言。」蒂妲絲雲頓從頭到尾展現出一個為情所困、焦慮、挫折、憤怒，終至絕望，她演出了阿莫多瓦希望能夠擁有自己掌控權的女人，完全淋漓表現了劇中角色那種高貴、冷調卻又充滿炙熱情感的角色。
144,薄荷糖,劇情,2021-08-06,★韓國重量級名導李滄東「綠色三部曲」之一！ ★勇奪「南韓奧斯卡」大鐘獎最佳影片、導演、劇本、女配角、新人等五項大獎！ ★韓國影帝薛耿求勇奪韓國青龍、大鐘兩大獎經典之作！ ★英國《衛報》評為「20大韓國經典電影」！ ★榮膺第4屆釜山影展開幕影片！ ★第53屆法國坎城影展「導演雙週」入選影片！如果人生可以倒退　一切都能重新來過嗎？在千禧年前夕，金英浩(薛耿求飾)依約到了年少時同伴們的河邊聚會，他們曾在這裡各自訴說夢想，也是金英浩與暗戀已久的初戀情人尹順林(文素利飾)擁有最美好回憶的地方。但景物依舊，金英浩卻完全變了一個人，他在過往朋友們眾目睽睽下，站到了鐵軌上尋短，痛苦大喊：「我想回到過去！」。故事以他的死亡開始倒敘展開，五年前、十多年前、二十年前…曾經意氣風發的少年歷經風霜，命運的峰迴路轉讓他成了自己不想成為的人。
145,太陽出來之後,劇情,2021-07-30,★一個出獄大叔的救贖之路！改編自直木賞獲獎小說《身分帳》★芝加哥國際影展多倫多國際影展口碑爆棚推薦★日本影帝役所廣司新生代實力派演員仲野太賀首度同台逆轉人生★改過自新就有重生的機會？最寫實反映更生人重返社會的迢迢長路★別讓過去陰霾絆倒你活在當下做好咖才是人生最大意義一名中年的前黑幫成員三上正夫（役所廣司飾）因謀殺罪入獄13年，出獄後的他為了適應社會、找工作、與人交流及習慣自由之身而苦惱，同時也一心一意尋找在小時候分散的母親。在尋找父母的過程中，他遇到了願意幫助他的人們，也終於在主流社會找到一席之地，然而過程並非一帆風順…。
146,罪之聲,劇情,2021-07-30,★實力派演員小栗旬、「全能才子」星野源首度精彩共演★改編自作家塩田武士以日本昭和真實未破懸案「固力果．森永案」為題材的人氣推理小說★《現在，很想見你》導演土井裕泰×《法醫女王》編劇野木亞紀子打造懸疑震撼劇！★2020日本報知電影獎最佳作品獎、最佳男主角獎、最佳男配角獎★2020日刊體育電影大獎最佳作品獎、最佳男主角獎★2020日本電影金像獎最佳劇本獎、話題演員獎，入選優秀作品、優秀男主角獎、優秀男配角獎、優秀導演獎、優秀劇本獎等10項大獎★經過35年而甦醒的宿命……　　在平成時代將邁入尾聲之際，新聞記者阿久津英士（小栗旬飾）被選入昭和最大未解決事件的特別企畫組，追查30多年前的事件真相，阿久津為了找到所剩的證據，每天不停進行調查。在此事件中，犯罪集團在威脅錄音帶裡用了三名孩子的聲音，阿久津對此十分在意。另一方面，在京都經營西裝店的曾根俊也（星野源飾），在父親的遺物中發現了卡式錄音帶，感到在意的他聽了錄音帶的內容，竟然聽到了自己年幼時的聲音，而這竟與30多年前威脅許多企業、震撼日本的昭和最大未破懸案的歹徒，所用的威脅錄音帶中出現的聲音是一樣的……
147,淘寶少年,劇情,2021-07-30,★入選威尼斯影展競賽片最佳影片★榮獲威尼斯影展最佳新演員獎★2021奧斯卡最佳國際影片伊朗代表入選十五強阿里是一個在街頭求生存的少年，雖然年僅12歲的小小年紀卻是一個經驗老到的小混混，在處處是危機也處處是黃金的大城市，冒著被警察逮到的危險偷拐搶騙、變賣贓物，只求能賺得一些小錢維持溫飽來養活自己和家人。突然有一天他被抓去見一位地方上頗有勢力的老大，老大吩咐他混進一所學校，但上課不是他真正的目的，重要的是他要在學校挖掘地道，因為下面藏匿著不為人知的寶藏！阿里對這個地下寶藏充滿了各種想像，不管是黃金還是珠寶，他相信這份寶藏一定能為他帶來一大筆財富。一心想要賺到大筆財富的阿里，找來和他一起在街頭打拼的死黨，他們絕對是完成這個「尋寶計畫」最佳搭擋。當他們順理成章進入這所專為流落街頭、無法接受正規教育的孩童所創立的學校之後，他們在課堂與地道之間徘徊，還要跟老師們捉迷藏，只希望最終能挖到寶藏，替自己找到一條脫離貧困的生路。【關於電影】導演馬吉德借《淘寶少年》盼喚醒人們重視 全球1.5億孩童教育權代表伊朗進入奧斯卡最佳國際影片15強 威尼斯影展最佳新演員等獎項截至目前為止全球約有1.5億的孩子們為了維持生計而不得不放棄受教機會，《淘寶少年》就是一部聚焦於這些深陷困境的童工們的電影。即使有許多國際組織正為這個議題努力不懈，但仍然不敵嚴酷的現實狀況，還是有許多受教權被剝奪的孩子亟待協助。導演馬吉德．馬吉迪的靈感來自於一間位於德黑蘭專為童工所設置的特別學校，和一個希望脫貧的孩童夢想，因此拍攝了《淘寶少年》，他更期盼這部電影可以喚醒更多人關注他們的未來。然而，比起一部深切探討童工受教權的嚴肅說教電影，導演其實更想要拍出一部有娛樂性、能量滿滿的作品，因此利用「挖寶藏」的冒險行動帶入更多緊張刺激的元素，讓全世界看到其實這些孩子們是非常機智、敏銳且擅於觀察的。導演也成功地將這一部作品帶上國際影展的舞台，不僅入選威尼斯影展最佳影片，同時也獲得LanternaMagicaAward大獎和最佳新演員獎，更代表伊朗進入奧斯卡最佳國際影片最後15強。最擅長拍攝年輕演員的導演馬吉迪 從孩子身上看到最純粹光芒歷經4個月從三千名孩童中海選角色剔除每一個人都是煎熬早已是世界級知名導演的馬吉迪，在1997年入圍奧斯卡最佳外語片《天堂的孩子》是影癡們最熟悉的影片之一，他以擅長拍攝兒童演員而著名，導演表示在孩子們的身上，他看到了不容置疑的真實性，不僅容易讓觀眾產生同理心，同時跟這些童星演員合作也能激發他更多的靈感，孩子們的熱情、原創性、想像力和自由使他們能夠參與各種不同的冒險。導演坦承在製作每一部作品時，選角絕對是最耗時、最困難也最複雜的程序，這次拍攝《淘寶少年》就花了四個月的時間，歷經超過三千場試鏡才把演員都確定下來，每剔除一個孩子對導演來說都非常煎熬，深怕粉碎了他們的夢想。一旦找到對的演員，導演的工作就幾乎完成了一半，他刻劃出每個角色的深度，就交由他們將自己的天賦和熱情展現在鏡頭前。孩子們在片中有許多即興演出，讓馬吉迪可以完美捕捉他們最純真的一面，有時這些即興創作甚至比照著劇本演出還要更加精彩。在片中許多主要演員在真實生活中就是童工，像是飾演薩拉的莎蜜拉(ShamilaShizad)和她弟弟，他們在戲裡戲外都是來自阿富汗的移民，他們一天中一半的時間要去街上工作，剩下時間才去專為童工設立的學校唸書。但是莎蜜拉充滿魅力的演出，在電影中展露的光芒絕對是經驗老道的演員也無法靠演技表現的，因為那完全就是他們從生活經驗汲取的鏡頭能量。另外飾演主角阿里的羅霍拉(RouhollahZamani)更是演技完美詮釋的天才童星，從來不曾演戲的他渾身充滿了原始能量，他的演出總是有超乎預期的表現，他渴望成功的野心就跟角色的個性如出一徹，這也是他能夠脫穎而出的關鍵之一，而他精彩的演出更讓他拿下了威尼斯影展的最佳新演員獎。耗時1個月打造挖寶藏地道 為了演員能夠容身及攝影機運動空間 為求順利完成進行無數次無攝影機排演 地鐵場景挑戰一次到位在《淘寶少年》中，除了演員之外，另外一個主角就是挖寶藏的地道，劇組耗費心力打造出來的地道和水槽，絕對是電影中最艱鉅的一項任務。因為這條地道裡除了要能夠讓演員活動自如之外，同時也需要足夠的空間架設攝影機，並從不同角度來進行拍攝。因此光是挖掘整個地道的場景，就花了將近一個月的時間才準備完成。除了地道外，電影中大部分的場景幾乎是實景拍攝，導演希望能藉此達到如同紀錄片般的寫實感。其中有一場在地鐵站拍攝的實景戲，更因為處於繁忙的交通時刻無法為了拍攝而停止運輸工作，加上許多繁瑣的規定而讓拍攝更加辛苦。為了因應這個狀況，導演只能讓演員們在沒有攝影機拍攝的狀況下不斷地排練，因為場地的限制，即使是情緒緊張高昂的追逐戲，最多也只有兩次機會可以拍攝。還好最後小演員們終於不負眾望帶來最自然又到位的演出，也成為《淘寶少年》中最亮眼的一場戲。
148,瀧澤歌舞伎ZEROTheMovie2020,劇情,2021-07-27,★傑尼斯事務所創辦人強尼．喜多川親手策劃的舞台劇登上大銀幕！★傑尼斯人氣新團SnowMan首部主演電影★現任傑尼斯副社長瀧澤秀明首部導演作品★改編自2006年開演的舞台劇《瀧澤歌舞伎》★融入舞蹈、特技、腹肌太鼓，傑尼斯至高的和式娛樂演出！由日本傑尼斯事務所創辦人強尼．喜多川親手策劃，融入舞蹈、特技、腹肌太鼓、歌舞伎及時代劇，挑戰肉體極限，以至高的「和式娛樂」聞名的《瀧澤歌舞伎ZERO》終於登上大銀幕！全新拍攝的舞台劇影像，加上電影才能展現出的影像效果，帶粉絲進入「既不是舞台劇也不是電影，新時代的影像世界」。由以出道單曲《D.D./ImitationRain》成功創下百萬銷售佳績、紅遍日本的型男偶像團體．SnowMan擔綱主演。在《瀧澤歌舞伎》始祖瀧澤秀明執導下，身懷絕技並有著令人起雞皮疙瘩的妖豔美的SnowMan團員們，在這個「嶄新的開幕」下將會帶來什麼樣的精采演出呢？
149,極速引爆,劇情,2021-07-22,★韓國雙週票房冠軍！締造今年韓影最高開票紀錄！★《寄生上流》《白頭山：半島浩劫》製作團隊最新驚悚力作★當《捍衛戰警》遇上《絕命鈴聲》，反轉劇情令人無法喘息！★「最強綠葉」趙祐鎮×「演技派男神」池昌旭展開最刺激的鬥智追擊戰！★一通未知來電將引爆人生最大危機…　　某天早上，銀行分行經理成圭（趙祐鎮飾）上班前開車載著孩子們上學途中，突然接到一通未知來電：「現在你的椅子底下設置了炸彈…」對方表示若他離開位子，便會引爆炸彈。認為這只是通詐騙電話的成圭，卻隨即目擊某名同事被以同樣的方式對待，那輛車就在他眼前爆炸。同時，成圭還被懷疑是釜山恐怖攻擊事件的嫌犯，遭警方追捕。下車的話車子就會瞬間爆炸，在被警方追擊的過程中，還無法中斷與未知來電者的通話，成圭與孩子們能否從這場危機中脫險呢？
150,手捲煙,劇情,2021-07-22,《手捲煙》描述退役華籍英軍關超（林家棟飾）在香港回歸後失去身分，面臨經濟壓力只好加入黑社會維持生計，某天被躲避幫派老大泰哥（袁富華飾）追殺的南亞裔青年文尼（比平卡瑪飾）誤闖家門，文尼以一百萬酬勞換取短暫收留，關超欣然接受。另一方面，泰哥與台灣黑幫菜甫（杜燕歌飾）進行金錢龜走私交易破局，作為中間人的關超遭受連累，不僅捲入這起鬥爭，暗藏文尼的行為被泰哥發現之後，更面臨走投無路的危險局面…。
